STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,STATION_COUNT
99800899999,26.033333300000002,-81.7,20.0,"ROOKERY BAY RESERVE, FL US",13
72240513976,30.198590000000003,-91.98957,10.8,"LAFAYETTE REGIONAL AIRPORT, LA US",31
72645204826,44.35904,-89.83695,309.4,"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",16
72642504841,43.7748,-87.84903,228.9,"SHEBOYGAN CO MEMORIAL AIRPORT, WI US",16
72085900286,44.251000000000005,-90.855,255.1,"BLACK RIVER FALLS AREA AIRPORT, WI US",12
72643894994,43.15614,-90.67756999999999,203.1,"BOSCOBEL AIRPORT, WI US",16
72507014765,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",31
72253912979,29.890829999999998,-97.86444,182.0,"SAN MARCOS MUNICIPAL AIRPORT, TX US",16
72227013864,33.91667,-84.51666999999999,325.5,"MARIETTA DOBBINS AFB, GA US",28
99999913752,38.9913,-76.4891,1.8,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",17
72491523259,36.59041,-121.84881000000001,48.8,"MONTEREY PENINSUL AIRPORT, CA US",16
72327313827,36.00889,-86.52,165.5,"SMYRNA AIRPORT, TN US",16
72425003860,38.36531,-82.5548,251.3,"HUNTINGTON TRI STATE AIRPORT, WV US",32
72407093730,39.45203,-74.56701,17.8,"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",31
A0735400132,44.033,-89.3,262.1,"WAUTOMA MUNICIPAL AIRPORT, WI US",0
71196099999,45.8666666,-77.25,162.0,"PEMBROKE CLIMATE, CA",26
71431099999,43.95,-78.1666666,78.0,"COBOURG AUT ONT, CA",31
72531594870,40.0324,-88.27547,226.5,"CHAMPAIGN URBANA WILLARD AIRPORT, IL US",16
72316563821,36.22278,-81.09833,396.2,"WILKES CO AIRPORT, NC US",16
72657294966,46.28333,-96.15,360.6,"FERGUS FALLS AIRPORT, MN US",17
72201412818,28.473879999999998,-82.45374,19.7,"BROOKSVILLE HERNANDO CO AIRPORT, FL US",16
72450003928,37.647529999999996,-97.42999,401.7,"WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US",31
72239003931,31.05,-93.18333,100.6,"FORT POLK ARMY AIR FIELD, LA US",27
99799799999,36.816666600000005,-121.73333329999998,3.0,"ELKHORN SLOUGH RESERVE, CA US",13
72640014839,42.95489,-87.9045,203.3,"MILWAUKEE MITCHELL AIRPORT, WI US",32
72406693706,39.706179999999996,-77.73037,209.4,"HAGERSTOWN REGIONAL AIRPORT, MD US",16
72463603013,38.07177,-102.68746999999999,1124.0,"LAMAR MUNICIPAL AIRPORT, CO US",16
72598524267,42.07444,-124.29,139.9,"BROOKINGS STATE AIRPORT, OR US",28
99999954808,40.0528,-88.3729,213.4,"CHAMPAIGN 9 SW, IL US",19
72525604857,41.7794,-80.69683,278.3,"ASHTABULA CO AIRPORT, OH US",16
71746099999,43.0,-82.3,181.0,"SARNIA CLIMATE, CA",16
99779299999,45.6166666,-86.65,186.0,"FAIRPORT, MI US",13
72314653892,36.43222,-81.41944000000001,969.3,"JEFFERSON ASHE CO AIRPORT, NC US",16
99769899999,40.8,-74.75,18.0,"NEWBOLD, PA US",12
72207953888,35.78111,-80.30360999999999,223.4,"LEXINGTON DAVIDSON CO AIRPORT, NC US",16
72017199999,35.214458,-89.043361,152.09,"WILLIAM L WHITEHURST FIELD, TN US",6
72792594227,47.23842,-123.14147,84.2,"SHELTON AIRPORT, WA US",23
72328003894,36.616890000000005,-87.41174000000001,167.7,"CLARKSVILLE OUTLAW AIRPORT, TN US",17
72556604957,42.46972,-98.68806,619.0,"ONEILL MUNICIPAL AIRPORT, NE US",16
72616094700,44.57604,-71.1782,342.3,"BERLIN MUNICIPAL AIRPORT, NH US",16
74516023202,38.26667,-121.93333,18.0,"TRAVIS FIELD AFB, CA US",28
99725599999,41.73,-87.54,179.4,"9087044 CALUMET IL, US",14
72258903991,33.20883,-97.19922,194.6,"DENTON MUNICPAL AIRPORT, TX US",16
72240312968,29.559027,-91.525054,1.0,"SALT POINT, LA US",16
72542404885,43.62167,-84.73722,230.1,"MOUNT PLEASANT MUNICIPAL AIRPORT, MI US",16
72258793955,33.63333,-95.45,166.7,"PARIS, TX US",16
72428704848,41.56327,-83.47671,189.0,"TOLEDO METCALF FIELD, OH US",16
72788499999,46.305639,-119.304194,120.09,"RICHLAND AIRPORT, WA US",7
72078199999,38.342781,-98.226878,515.41,"LYONS RICE CO MUNICIPAL, KS US",4
